Manufactor,Model,Asset-Tag,Serial-Number
HP,GX520,856999999,GXADF000
DELL,GX520,856888888,GXADF000
HP,GX755,123546789,adfae
HP,GX760,356358999,8538
DELL,3040,24dg99999,8364
DELL,GX755,bvnmj9999,4125
HP,GX520,856999999,GXADF000
DELL,GX520,856888888,GXADF000
HP,GX755,123546789,adfae
HP,GX760,356358999,8538
DELL,3040,24dg99999,8364
DELL,GX755,bvnmj9999,4125
HP,GX520,856999999,GXADF000
DELL,GX520,856888888,GXADF000
HP,GX755,123546789,adfae
HP,GX760,356358999,8538
DELL,3040,24dg99999,8364
DELL,GX755,bvnmj9999,4125
HP,GX520,856999999,GXADF000
DELL,GX520,856888888,GXADF000
HP,GX755,123546789,adfae
HP,GX760,356358999,8538
DELL,3040,24dg99999,8364
DELL,GX755,bvnmj9999,4125
HP,GX520,856999999,GXADF000
DELL,GX520,856888888,GXADF000
HP,GX755,123546789,adfae
HP,GX760,356358999,8538
DELL,3040,24dg99999,8364
DELL,GX755,bvnmj9999,4125
HP,GX520,856999999,GXADF000
DELL,GX520,856888888,GXADF000
HP,GX755,123546789,adfae
HP,GX760,356358999,8538
DELL,3040,24dg99999,8364
DELL,GX755,bvnmj9999,4125
HP,GX520,856999999,GXADF000
DELL,GX520,856888888,GXADF000
HP,GX755,123546789,adfae
HP,GX760,356358999,8538
DELL,3040,24dg99999,8364
DELL,GX755,bvnmj9999,4125
